,EUK.BLANK.2,EUK.BLANK.3,EUK.BLANK.4,EUK.BLANK.5,EUK.BLANK.7,EUK.BLANK.8,EUK.ExrNTC.1,EUK.ExrNTC.3,EUK.ExrNTC.4,EUK.ExrNTC.5,EUK.ExrNTC.6,EUK.ExrNTC.7,EUK.ExrNTC.8,EUK.TubNTC.1,EUK.TubNTC.2,EUK.TubNTC.3,EUK.TubNTC.4,EUK.TubNTC.5,EUK.TubNTC.6,EUK.BLANK.1,OTU,assignmentQual,taxID,superkingdom,phylum,class,order,family,genus,species,Sum
ASV_1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1391,Low,2829680,Bacteria,,,,,,bacterium SCSIO 12827,0
ASV_1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1392,Low,87105,Eukaryota,,Bigyra,Thraustochytrida,Thraustochytriaceae,Thraustochytrium,Thraustochytrium multirudimentale,0
ASV_1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1393,Low,374515,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodovibrionaceae,Pelagibius,Pelagibius litoralis,0
ASV_1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1394,Low,2030826,Eukaryota,Endomyxa,Phytomyxea,Phagomyxida,,Maullinia,Maullinia braseltonii,0
ASV_1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1395,Low,2792763,Eukaryota,,Bigyra,Amphifilida,,Sorodiplophrys,Sorodiplophrys sp.,0
ASV_1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1396,Low,1331911,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,Thermogutta,Thermogutta hypogea,0
ASV_1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1397,Low,2600177,Bacteria,,Deltaproteobacteria,Bradymonadales,Microvenatoraceae,Microvenator,Microvenator marinus,0
ASV_1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1398,High-MH,None,Eukaryota,Mollusca,Bivalvia,Mytilida,Mytilidae,NA,NA,0
ASV_1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1399,Low,303684,Bacteria,,,,,,bacterium Schreyahn_AOB_Sali_Kultur_19,0
ASV_1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1400,Low,1940336,Eukaryota,Endomyxa,Ascetosporea,Haplosporida,Haplosporidiidae,Minchinia,Minchinia sp. ex Cerastoderma edule,0
ASV_1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1401,Low,56931,Eukaryota,Streptophyta,Marchantiopsida,Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata,0
ASV_1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1402,Low,627966,Eukaryota,,Bigyra,Oblongichytrida,,Oblongichytrium,Oblongichytrium sp. PBS05,0
ASV_1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1403,Low,39848,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Agrostemma,Agrostemma githago,0
ASV_1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1404,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1405,Low,1936003,Bacteria,Planctomycetota,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera,Anaerohalosphaera lusitana,0
ASV_1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1406,High,69355,Eukaryota,Arthropoda,Ostracoda,Podocopida,Darwinulidae,Darwinula,Darwinula stevensoni,0
ASV_1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1407,High,193036,Eukaryota,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Ascagilis,Ascagilis bipolaris,0
ASV_1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1408,Low,2030824,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,Phycisphaera sp.,0
ASV_1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1409,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1410,High-MH,None,Eukaryota,,Dinophyceae,NA,NA,NA,NA,0
ASV_1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1411,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1412,Low,1165209,Bacteria,,,,,,bacterium WH5-6,0
ASV_1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1413,Low,90248,Eukaryota,Zoopagomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus haptosporus,0
ASV_1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1414,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1415,Low,1400387,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Bythopirellula,Bythopirellula goksoeyrii,0
ASV_1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1416,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1417,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1418,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1419,Low,980251,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Mariniblastus,Mariniblastus fucicola,0
ASV_1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1420,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1421,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1422,Low,2012228,Eukaryota,Cryptomycota,,,,,Cryptomycota sp.,0
ASV_1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1423,Low,46431,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Pelobacter sp.,0
ASV_1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1424,Low,75297,Eukaryota,Perkinsozoa,,Perkinsida,Perkinsidae,Perkinsus,Perkinsus sp. 'isolate G117',0
ASV_1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1425,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1426,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1427,High-MH,None,Eukaryota,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,NA,NA,0
ASV_1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1428,Low,886231,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiomargarita,Candidatus Thiomargarita joergensenii,0
ASV_1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1429,Low,1869227,Bacteria,,,,,,bacterium,0
ASV_1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1430,High-MH,None,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,NA,0
ASV_1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1431,Low,1165209,Bacteria,,,,,,bacterium WH5-6,0
ASV_1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1432,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1433,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1434,Low,376150,Bacteria,Myxococcota,Myxococcia,Myxococcales,,Paraliomyxa,Paraliomyxa miuraensis,0
ASV_1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1435,Low,741088,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,Cryothecomonas sp. APCC MC5-1Cryo,0
ASV_1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1436,High,157072,Eukaryota,Oomycota,,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces invadans,0
ASV_1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1437,Low,2250252,Bacteria,Candidatus Sumerlaeota,Candidatus Sumerlaeia,Candidatus Sumerlaeales,Candidatus Sumerlaeaceae,Candidatus Sumerlaea,Candidatus Sumerlaea chitinivorans,0
ASV_1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1438,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1439,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1440,Low,2038151,Eukaryota,Oomycota,,,,,Oomycetes sp.,0
ASV_1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1441,Low,2026773,Archaea,,,,,,Candidatus Pacearchaeota archaeon,0
ASV_1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1442,Low,2719951,Eukaryota,Apicomplexa,Marosporida,Agamococcidiorida,Rhytidocystidae,Rhytidocystis,Rhytidocystis dobrovolskiji,0
ASV_1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1443,Low,741088,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,Cryothecomonas sp. APCC MC5-1Cryo,0
ASV_1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1444,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1445,Low,327389,Eukaryota,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Paulsenella,Paulsenella vonstoschii,0
ASV_1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1446,Low,1003145,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,Tryblionella apiculata,0
ASV_1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1447,Low,2053489,Archaea,Candidatus Lokiarchaeota,,,,,Candidatus Lokiarchaeota archaeon,0
ASV_1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1448,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1449,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1450,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1451,Low,2527970,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Blastopirellula,Blastopirellula retiformator,0
ASV_1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1452,Low-MH-S,1618364;1618504,Bacteria,NA,NA,NA,NA,NA,NA,0
ASV_1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1453,High-MH,None,Eukaryota,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,NA,0
ASV_1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1454,Low,136450,Eukaryota,Tubulinea,Echinamoebida,,Echinamoebidae,Echinamoeba,Echinamoeba exundans,0
ASV_1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1455,High,497806,Bacteria,Myxococcota,Myxococcia,Myxococcales,,,Sorangiineae bacterium HB-1,0
ASV_1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1456,High-MH,None,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,0
ASV_1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1457,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1458,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1459,Low,2016596,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Nitrogeniibacter,Nitrogeniibacter mangrovi,0
ASV_1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1460,Low,1579378,Archaea,,,,,,archaeon GW2011_AR20,0
ASV_1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1461,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1462,Low,1288125,Bacteria,Myxococcota,,Haliangiales,Kofleriaceae,Kofleria,Kofleria sp. DSM 53797,0
ASV_1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1463,Low,2026715,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,,Pseudobdellovibrionaceae bacterium,0
ASV_1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1464,High,89381,Eukaryota,Foraminifera,,Rotaliida,Rotaliidae,Pararotalia,Pararotalia nipponica,0
ASV_1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1465,Low,1982022,Eukaryota,,,,,,Stramenopiles sp.,0
ASV_1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1466,Low,1123043,Bacteria,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Telmatocola,Telmatocola sphagniphila,0
ASV_1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1467,Low,1632529,Bacteria,,,,,,bacterium YC-ZSS-LKJ135,0
ASV_1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1468,High-MH,None,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,NA,NA,NA,0
ASV_1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1469,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1470,Low,1246795,Eukaryota,,,Ancyromonadida,,Nutomonas,Nutomonas longa,0
ASV_1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1471,Low,88552,Eukaryota,,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,Amoebophrya sp.,0
ASV_1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1472,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1473,Low,573134,Bacteria,Planctomycetota,Planctomycetia,,,,Planctomycetia bacterium WSF3-27,0
ASV_1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1474,Low,2527991,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Pseudobythopirellula,Pseudobythopirellula maris,0
ASV_1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1475,Low,138669,Eukaryota,,Bigyra,Amphitremida,,Diplophrys,Diplophrys sp. ATCC_50360,0
ASV_1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1476,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1477,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1478,Low,1869227,Bacteria,,,,,,bacterium,0
ASV_1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1479,Low,1431325,Eukaryota,Ciliophora,Oligohymenophorea,Philasterida,Loxocephalidae,Dexiotricha,Dexiotricha elliptica,0
ASV_1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1480,Low,2527985,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Symmachiella,Symmachiella macrocystis,0
ASV_1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1481,Low,2742145,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Oricola,Oricola thermophila,0
ASV_1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1482,Low,1984797,Eukaryota,Microsporidia,,,,,Microsporidia sp.,0
ASV_1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1483,Low,1367453,Eukaryota,Endomyxa,,Vampyrellida,,,Vampyrellida sp. V1ld9,0
ASV_1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1484,Low,1006188,Eukaryota,,Cryptophyceae,Pyrenomonadales,Chroomonadaceae,Chroomonas,Chroomonas sp. WE-2011,0
ASV_1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1485,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1486,Low,577650,Bacteria,Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus propionicus,0
ASV_1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1487,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1488,Low,2528023,Bacteria,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Urbifossiella,Urbifossiella limnaea,0
ASV_1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1489,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1490,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1491,Low,56,Bacteria,Myxococcota,,Polyangiales,Polyangiaceae,Sorangium,Sorangium cellulosum,0
ASV_1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1492,Low,1165209,Bacteria,,,,,,bacterium WH5-6,0
ASV_1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ASV_1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1494,Low,218208,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,Desulfatibacillum,Desulfatibacillum aliphaticivorans,0
ASV_1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1495,Low,2493946,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Bovistella,Bovistella utriformis,0
ASV_1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1496,Low,2723666,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,,,Planctomycetales bacterium ZRK34,0
ASV_1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1497,Low,1619078,Bacteria,,,,,,candidate division TM6 bacterium GW2011_GWF2_30_66,0
ASV_1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1498,High,38836,Eukaryota,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pterosperma,Pterosperma cristatum,0
ASV_1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1499,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1500,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1501,High,1510150,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Permianibacter,Permianibacter aggregans,0
ASV_1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1502,Low,1122280,Eukaryota,,,Rigifilida,,Rigifila,Rigifila ramosa,0
ASV_1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1503,Low,1982022,Eukaryota,,,,,,Stramenopiles sp.,0
ASV_1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1504,Low,73908,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sp. SAG 211-18,0
ASV_1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1505,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1506,Low,1130972,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,,,[Candida] sp. KP-2012,0
ASV_1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1507,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1508,Low,55779,Bacteria,Bacillota,Clostridia,Moorellales,Moorellaceae,Moorella,Moorella glycerini,0
ASV_1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1509,Low,2528010,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Lignipirellula,Lignipirellula cremea,0
ASV_1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1510,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1511,Low,284967,Eukaryota,Chlorophyta,Mamiellophyceae,Dolichomastigales,Crustomastigaceae,Crustomastix,Crustomastix sp. MBIC10709,0
ASV_1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1512,Low,1216001,Eukaryota,Tubulinea,,,,,Tubulinea sp. 4388,0
ASV_1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1513,High,49334,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,,[Candida] sorboxylosa,0
ASV_1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1514,Low,1324697,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhodovibrionaceae,Pelagibius,Pelagibius sp. EF2B-B188,0
ASV_1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1515,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1516,None,None,NA,NA,NA,NA,NA,NA,NA,0
ASV_1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1517,High,230415,Eukaryota,Cercozoa,Imbricatea,Marimonadida,,Pseudopirsonia,Pseudopirsonia mucosa,0
ASV_1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ASV_1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1519,Low,344396,Eukaryota,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Tridentulus,Tridentulus sp. PDL-2005,0
ASV_1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1520,Low,151026,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,Cryothecomonas aestivalis,0
ASV_1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1521,Low,47960,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Thioalkalibacteraceae,Guyparkeria,Guyparkeria halophila,0
ASV_1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1522,Low,1559890,Eukaryota,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. 1 ZHNL-2013,0
