"","LH-MD9-0000","LH-MD9-0250","LH-MD9-0450","LH-MD9-0700","LH-MD9-0900","LH-MD9-1150","NM-MD9-1849","NM-MD9-2050","NM-MD9-2250","NM-MD9-2450","NM-MD9-2650"
"Elaeis",0,0,0,0,0,0,0,0,15,10,0
"Elephantulus",0,0,0,0,0,0,0,0,0,19,0
"Eleusine",0,0,0,0,0,0,0,13,18,27,41
"Elioraea",35,14,0,0,0,0,0,0,0,0,0
"Emiliania",0,89,32,111,57,113,39,25,47,405,61
"Endozoicomonas",0,0,0,0,0,0,0,0,12,0,0
"Ensifer",117,40,36,19,15,22,16,18,40,55,39
"Enterobacter",0,0,0,0,0,0,0,0,14,14,0
"Enterococcus",0,0,0,0,0,0,0,12,34,0,0
"Epichloe",0,0,0,12,0,0,0,13,19,0,12
"Equisetum",0,0,0,0,0,0,0,14,39,39,40
"Equus",0,0,0,0,0,0,0,0,0,10,0
"Erinaceus",0,0,0,0,0,0,0,0,17,23,11
"Eristalis",0,10,0,0,0,0,0,0,12,0,0
"Erithacus",0,0,0,0,0,0,0,0,0,10,0
"Erwinia",0,0,0,0,0,0,0,0,12,21,0
"Erythranthe",0,0,0,0,0,0,0,0,0,11,10
"Erythrobacter",91,37,37,60,16,21,339,60,291,47,42
"Escherichia",0,0,0,0,0,0,0,0,0,13,0
"Etheostoma",0,0,0,0,0,0,0,0,0,11,0
"Eucalyptus",0,0,0,0,0,0,0,0,0,0,10
"Eucampia",0,76,60,21,61,92,24,50,39,64,20
"Eunotogramma",0,0,0,0,0,0,0,0,0,12,0
"Eupithecia",0,0,12,13,0,12,0,0,0,0,0
"Eurytemora",0,15,22,11,30,27,24,32,39,68,39
"Euzebya",10,0,0,0,0,0,0,0,0,10,0
"Evansella",0,0,0,0,0,0,0,0,19,0,0
"Ewingella",0,0,0,0,0,0,0,0,0,0,12
"Exaiptasia",0,0,0,0,0,0,0,0,0,13,0
"Exiguobacterium",20,11,0,0,12,0,0,0,13,0,0
"Exophiala",0,0,0,0,0,0,19,87,33,102,11
"Exserohilum",0,0,0,0,0,0,0,0,0,0,40
"Fagus",17,210,247,490,955,1231,93,15,63,24,22
"Falsihalocynthiibacter",0,17,0,22,0,14,0,0,18,15,12
"Ferribacterium",10,0,0,0,0,0,0,0,0,0,0
"Ferrimonas",0,0,0,0,0,0,0,0,0,13,0
"Ferrocalamus",0,0,0,0,0,0,0,10,21,28,43
"Ferrovibrio",72,27,24,18,0,12,0,10,10,16,10
"Fibrocapsa",0,0,0,0,0,26,18,16,20,22,0
"Ficedula",0,0,0,0,0,0,0,0,12,10,0
"Fictibacillus",0,0,22,78,0,161,266,247,101,0,128
"Filomicrobium",23,44,57,68,79,62,73,73,95,135,158
"Finegoldia",0,0,0,0,0,0,0,0,19,0,0
"Flagellatimonas",0,0,0,0,0,0,14,0,0,0,0
"Flagellimonas",0,0,36,0,0,0,0,0,10,0,0
"Flammeovirga",0,0,0,0,0,0,0,0,12,21,0
"Flavivirga",0,0,81,27,0,17,0,0,11,10,11
"Flavobacterium",14,33,53,55,46,55,44,82,135,179,127
"Florenciella",0,21,16,35,36,53,79,57,124,245,120
"Flustra",0,0,0,0,0,0,0,0,0,0,20
"Fluviicola",0,0,0,0,0,0,0,0,0,10,0
"Fonsecaea",0,0,0,0,0,0,0,10,0,13,0
"Formosa",18,79,64,124,77,133,74,171,636,1015,538
"Fragaria",0,0,0,0,13,0,13,0,75,0,0
"Fragilariopsis",0,0,0,0,0,0,10,0,0,17,16
"Francisella",0,0,0,0,15,0,11,10,40,30,14
"Frankia",21,39,31,28,46,33,37,65,53,107,220
"Frankliniella",0,0,0,0,0,0,0,0,10,0,0
"Frateuria",12,0,0,0,0,0,0,0,0,0,0
"Fraxinus",0,0,0,0,0,10,30,0,35,13,0
"Frigidibacter",12,0,0,0,0,0,0,0,20,0,0
"Frigoriglobus",15,0,0,0,0,0,0,0,0,12,11
"Fucus",0,10,12,0,14,25,12,26,49,42,38
"Fuerstiella",23,0,0,16,0,20,0,0,0,18,22
"Fulvivirga",0,0,0,0,0,0,0,0,0,15,0
"Fusarium",0,0,0,0,0,0,0,18,13,0,0
"Fusobacterium",0,0,0,0,0,0,0,11,0,13,0
"Gadus",62,322,175,105,265,216,197,158,269,361,226
"Galeopterus",0,0,0,0,0,0,0,0,13,0,0
"Gallus",0,0,0,0,42,0,0,15,35,13,17
"Gari",0,14,0,0,10,15,0,17,41,43,36
"Gekko",0,0,0,0,0,0,0,0,14,0,0
"Gemmata",24,0,0,0,11,0,0,0,0,14,24
"Gemmatimonas",22,0,0,0,0,0,0,0,0,31,10
"Gemmatirosa",71,0,0,0,10,0,0,0,0,17,13
"Gemmobacter",10,10,0,0,0,0,0,0,0,0,13
"Geoalkalibacter",0,0,0,0,0,0,0,0,10,0,0
"Geobacillus",0,0,0,0,0,0,14,25,11,0,15
"Geobacter",48,14,16,35,17,17,11,16,32,52,31
"Geodermatophilus",39,96,0,130,269,130,112,0,146,16,210
"Geomonas",28,0,0,21,0,15,0,0,11,34,21
"Georgenia",11,0,0,0,0,0,0,10,25,0,18
"Georhizobium",13,0,0,0,0,0,0,0,0,0,11
"Geosporobacter",0,0,0,0,0,0,11,11,0,0,0
"Geotalea",0,0,11,12,21,17,10,16,0,28,38
"Gibbula",0,0,0,0,0,0,0,0,10,18,0
"Gigantopelta",0,0,0,0,0,0,0,0,0,24,0
"Gimesia",117,166,27,46,21,50,26,25,30,58,59
"Glaciecola",0,0,0,0,0,23,0,0,0,13,0
"Gloeobacter",10,0,0,0,0,0,0,0,0,0,0
"Gluconacetobacter",14,14,0,0,0,0,0,0,0,0,0
"Glutamicibacter",0,0,0,0,0,0,0,37,83,0,0
"Glycocaulis",14,0,14,0,0,0,59,78,0,125,0
"Glyphotaelius",0,0,0,0,0,0,0,0,17,10,14
"Gordonia",34,48,39,42,69,78,173,175,387,200,361
"Gossypioides",0,0,0,0,0,0,0,0,21,14,0
"Gossypium",0,0,0,0,0,0,0,21,35,38,21
"Gouania",0,0,0,0,0,0,0,0,0,16,10
"Gracilibacillus",0,0,0,10,0,0,13,11,0,0,0
"Gracilinanus",0,0,0,0,0,0,0,0,14,13,15
"Gramella",0,0,0,0,0,0,0,0,18,0,25
"Grammomys",0,0,0,0,0,0,0,0,11,15,0
"Granulicella",28,0,0,0,0,0,0,0,0,15,0
"Granulosicoccus",0,0,0,0,0,0,10,0,0,12,0
"Gryllotalpicola",0,0,0,0,0,0,0,12,0,0,0
"Guinardia",0,0,0,14,19,14,10,12,20,34,10
"Gulosibacter",0,0,0,0,0,0,0,87,0,0,0
"Guyparkeria",0,0,0,0,0,0,0,0,14,0,0
"Gymnodinialimonas",15,0,0,0,0,0,0,0,0,0,0
"Gymnodraco",0,0,0,0,0,0,0,0,0,10,0
"Haematobacter",0,0,0,0,0,0,0,13,11,0,0
"Haemophilus",0,0,0,0,0,0,10,0,0,0,0
"Haladaptatus",0,112,156,121,317,330,93,65,69,84,228
"Halalkalibacterium (ex Joshi et al. 2022)",0,0,0,0,0,0,0,10,0,0,0
"Haliangium",0,0,21,11,16,13,0,0,17,0,22
"Halidrys",0,0,0,0,0,0,0,0,0,0,10
"Halioglobus",15,28,55,60,42,21,17,31,30,63,49
"Haliotis",0,11,0,13,0,12,0,10,13,23,24
"Halioxenophilus",0,0,28,0,0,192,0,0,15,0,0
"Haloarchaeobius",0,0,0,0,0,0,0,0,0,0,14
"Haloarcula",0,0,0,0,0,12,0,0,0,12,24
"Halobacillus",0,19,14,17,19,15,22,0,10,33,36
"Halobacterium",0,0,0,0,0,0,0,0,0,17,10
"Halobaculum",0,0,0,0,0,0,11,0,0,24,30
"Halocella",0,0,11,0,0,0,0,0,0,0,0
"Halococcus",0,0,0,0,0,0,0,0,0,15,0
"Haloferax",0,0,0,0,11,11,0,0,0,10,17
"Halogranum",0,0,10,0,18,0,0,0,0,0,0
"Halohasta",0,15,0,0,12,27,0,22,34,55,128
"Halomarina",0,0,0,0,0,0,0,0,0,0,12
"Halomicroarcula",0,39,19,13,42,65,18,13,29,70,154
"Halomonas",209,74,83,92,51,184,437,55,12586,157,160
"Halonotius",0,0,0,0,0,0,0,0,0,0,12
"Haloplanus",0,0,0,0,0,0,0,0,0,0,11
"Halopseudomonas",28,19,279,20,11,20,52,0,706,27,64
"Halorhodospira",10,0,0,0,0,0,0,0,23,10,0
"Halorientalis",0,12,0,0,0,0,0,0,21,26,34
"Halorubrum",0,48,39,24,34,95,32,41,105,192,553
"Halorussus",0,0,0,0,0,0,0,0,0,0,13
"Haloterrigena",0,11,12,0,25,25,0,0,0,16,17
"Halothiobacillus",11,0,0,0,0,0,0,0,12,0,0
"Halyomorpha",0,0,0,0,0,0,0,11,0,0,0
"Hankyongella",25,13,0,0,0,0,0,0,0,0,0
"Hartmannibacter",35,13,13,15,0,0,17,21,10,22,0
"Haslea",0,14,0,14,20,40,45,31,53,78,25
"Helianthus",0,0,0,0,0,0,0,0,0,25,21
"Helicobacter",0,0,0,0,0,0,0,0,0,13,0
"Helobdella",0,0,0,0,0,0,0,0,11,15,0
"Herbaspirillum",21,12,0,0,10,10,0,0,14,18,13
"Herrania",0,0,0,0,0,0,23,41,76,52,34
"Heterocephalus",0,0,0,0,0,0,0,0,12,0,0
"Hevea",0,0,0,0,0,0,0,0,19,16,12
"Heyndrickxia",0,0,0,0,0,0,0,14,0,0,0
"Hibiscus",0,12,10,0,0,0,12,42,72,48,33
"Hippoglossus",0,0,10,11,0,12,0,14,30,37,19
"Hippophae",0,0,0,10,0,0,0,0,0,0,20
"Hirschia",0,0,0,0,0,0,20,12,0,31,0
"Hirsutella",0,0,0,0,0,0,0,20,10,0,30
"Hoeflea",14,11,16,10,0,0,35,10,0,12,17
"Homalodisca",0,0,0,0,0,0,0,0,10,0,0
"Homarus",0,13,12,23,22,18,18,28,52,67,45
"Homo",0,21,62,20,30,21,0,33,182,77,98
"Hordeum",0,0,0,15,0,0,0,0,0,16,0
"Hoyosella",0,0,0,0,0,0,0,0,58,0,19
"Humibacter",0,0,0,0,0,0,0,150,0,0,0
"Humisphaera",23,0,0,0,0,0,0,11,0,15,0
"Hungatella",0,0,0,0,0,0,0,0,233,15,32
"Hyaena",0,0,0,0,0,0,0,0,0,13,0
"Hyalella",0,0,0,0,0,0,0,0,11,13,0
"Hyaloscypha",0,0,0,0,0,0,0,0,13,32,0
"Hydra",0,0,0,0,0,0,0,0,16,16,20
"Hydractinia",0,12,0,0,0,0,0,0,0,0,0
"Hydrocarboniclastica",0,0,0,0,0,0,0,0,11,0,0
"Hydrogenophaga",76,17,10,19,14,26,0,0,35,27,24
"Hydrogenovibrio",0,21,0,0,0,0,26824,279,56918,59498,57
"Hymenobacter",33,15,12,13,12,18,15,0,18,31,39
"Hypericibacter",528,171,105,75,30,35,0,11,33,49,23
"Hyphobacterium",0,0,0,12,0,0,0,0,0,0,0
"Hyphomicrobium",36,17,15,56,15,65,24,24,44,66,61
"Hyphomonas",58,79,658,47,14,15,7090,8485,12,10859,62
"Iamia",20,0,13,15,11,0,0,0,0,28,21
"Ichneumon",0,0,0,0,10,33,0,10,18,21,15
"Ictidomys",0,0,0,0,0,0,0,0,10,0,0
"Idiomarina",0,0,0,0,0,0,0,0,88,11,0
"Ignavibacterium",364,13,12,0,0,11,11,16,18,100,32
"Ilumatobacter",32,40,19,165,38,41,25,25,27,129,46
"Immundisolibacter",0,0,0,0,0,0,0,0,16,12,0
"Impatiens",0,0,0,0,0,0,0,0,11,27,0
"Indioceanicola",63,20,16,12,0,0,0,0,14,11,0
"Ipomoea",0,0,0,0,0,0,0,0,12,13,16
"Isoperla",0,0,0,0,0,11,0,0,0,13,11
"Isoptericola",0,0,0,0,0,0,0,0,0,0,28
"Ixodes",0,0,0,0,0,0,0,0,0,10,0
"Jaculus",0,0,0,0,0,0,0,0,11,12,12
"Janibacter",0,0,11,15058,194,0,2473,213561,63010,18986,7159
"Janthinobacterium",17,0,0,10,0,0,0,0,13,17,10
"Jasminum",0,0,0,0,0,0,0,0,10,12,0
"Jatrophihabitans",0,0,0,0,0,0,0,0,0,11,21
"Jeotgalibaca",0,0,0,0,0,0,0,0,0,20,0
"Jiangella",12,10,0,0,0,0,0,10,12,0,18
"Juglans",0,0,0,0,0,0,0,14,32,28,25
"Kaistia",41,24,13,13,14,0,0,11,13,24,10
"Kangiella",0,0,0,11,0,0,0,0,0,13,0
"Karlodinium",0,0,0,0,0,0,0,0,0,14,0
"Kaustia",122,51,33,23,22,31,10,19,21,48,30
"Ketobacter",0,0,0,0,0,0,14,0,0,0,0
"Kibdelosporangium",0,12,0,0,10,0,0,0,0,20,20
"Kineobactrum",13,0,15,14,0,0,0,12,11,0,0
"Kinneretia",10,0,0,0,0,0,0,0,0,0,0
"Kiritimatiella",0,0,0,0,0,0,0,0,0,15,0
"Kitasatospora",0,0,0,11,10,0,0,10,10,16,12
"Klebsiella",12,0,0,0,0,0,17,0,11,10,10
"Kocuria",11,0,0,0,13,17,0,124,70,42,42
"Komagataeibacter",21,0,0,12,0,0,0,0,0,10,0
"Kordia",0,0,0,0,0,0,0,0,15,16,10
"Kordiimonas",0,14,16,39,0,0,0,0,0,0,0
"Kosakonia",0,0,0,0,0,0,0,0,0,11,0
"Kribbella",0,14,14,0,10,11,0,0,26,41,75
"Kryptoperidinium",0,0,0,0,0,0,0,0,0,14,0
"Kushneria",0,0,0,11,0,0,0,0,0,0,0
"Kutzneria",12,0,12,20,13,15,0,0,18,27,43
"Labilibaculum",0,0,0,15,0,0,0,0,0,12,11
"Labilithrix",20,14,14,22,29,50,18,24,28,23,39
"Labrenzia",27,13,32,13,11,17,18,22,17,52,0
"Labrus",0,0,0,0,0,0,0,0,0,10,13
"Labrys",27,12,15,0,0,0,0,0,10,13,13
"Lacinutrix",0,12,16,14,0,0,20,12,40,33,34
"Lacipirellula",53,27,24,28,32,36,21,24,43,61,44
"Lactobacillus",0,0,0,0,14,0,0,0,28,0,0
"Lactuca",0,0,0,0,0,0,0,11,16,15,11
"Lacunisphaera",0,0,0,0,0,0,0,0,0,10,0
"Larimichthys",0,0,0,0,0,12,0,0,14,25,23
"Lasioglossum",0,14,0,0,0,0,0,0,18,16,12
"Lates",0,0,0,17,0,18,0,0,0,0,0
"Legionella",0,12,20,16,18,25,27,29,21,67,30
"Leifsonia",0,0,0,0,0,0,0,23,0,0,11
"Leisingera",35,18,47,17,14,15,17,0,28,24,18
"Lentibacillus",0,0,0,0,0,0,92,10,0,0,0
"Lentzea",0,0,0,0,0,0,0,0,13,0,24
"Lepeophtheirus",0,0,0,0,0,0,0,0,0,10,0
"Lepidonotus",0,0,0,0,0,0,0,0,0,0,16
"Leptocylindrus",0,14,19,12,20,0,0,0,10,11,24
"Leptolyngbya",51,10,13,12,11,10,19,0,20,0,13
"Leptopilina",0,0,0,0,0,0,0,0,0,21,0
"Leptospira",0,0,0,0,0,0,0,0,0,12,0
"Leptothrix",10,0,0,0,0,0,0,0,0,0,0
"Leucobacter",15,0,0,0,0,10,10,54,18,16,12
"Lichenicola",19,0,0,0,0,0,0,0,0,12,0
"Lichenihabitans",10,0,0,0,0,0,0,0,0,0,0
"Lignipirellula",126,36,48,66,57,95,28,25,53,58,66
"Limihaloglobus",0,10,0,0,0,0,0,0,0,12,0
"Limnephilus",0,0,0,0,29,14,0,0,17,43,13
"Limnochorda",11,0,0,0,0,0,0,0,0,10,0
"Limnoglobus",16,0,0,0,0,0,0,0,11,12,0
"Lineus",0,0,0,0,10,11,0,13,13,34,33
"Listeria",0,0,0,0,0,0,0,16,0,12,12
"Loktanella",0,0,0,0,0,0,0,0,12,0,0
"Lolium",29,74,67,39,162,129,65,200,260,455,485
"Lotharella",0,0,0,0,0,0,0,0,0,0,11
"Lottia",20,24,31,42,35,43,28,28,44,83,31
"Lotus",0,11,10,0,13,11,0,0,0,10,15
"Loxodonta",0,0,0,0,0,0,0,0,68,63,282
"Lucilia",0,0,0,0,0,0,0,0,12,19,10
"Lumbricus",0,12,11,16,11,19,17,19,44,60,33
"Lupinus",0,0,0,0,0,0,0,0,12,0,0
"Luteibacter",24,0,0,0,0,0,0,12,21,15,15
"Luteimonas",46,0,13,15,10,12,0,0,26,31,18
"Luteitalea",105,15,14,0,12,12,12,12,20,38,30
"Luteithermobacter",12,15,0,33,0,0,0,0,0,0,0
"Luteolibacter",14,0,0,0,0,0,0,0,0,18,19
"Lutibacter",0,0,67,290,14,0,0,11,30,45,28
"Lysinibacillus",0,0,17,29,14,30,76,97,52,15,51
"Lysobacter",118,30,24,15,33,27,19,23,56,82,42
"Lytechinus",0,0,10,0,0,19,11,15,31,43,34
"Macaca",0,0,0,0,0,0,0,0,0,10,0
"Macadamia",0,0,0,0,0,0,0,0,14,16,0
"Macrobrachium",0,0,0,0,0,0,0,0,18,19,16
"Magnetococcus",0,0,0,11,0,0,0,0,0,0,0
"Magnetospira",46,22,18,16,0,0,0,0,11,11,0
"Magnetospirillum",254,76,61,56,25,24,10,0,19,38,20
"Maioricimonas",72,11,21,16,17,13,0,15,16,31,21
"Malassezia",0,0,14,0,0,21,0,0,27,15,16
"Malus",0,22,0,0,52,41,50,74,470,236,327
"Mameliella",11,0,10,0,0,0,0,17,38,0,0
"Manihot",0,0,0,0,0,0,0,0,12,13,14
"Maniola",0,0,0,0,0,0,0,0,0,10,0
"Maribacter",0,134,754,22,0,0,33,0,18,29,26
"Maribellus",0,0,0,82,0,0,0,0,0,0,0
"Maricaulis",0,0,10,0,0,0,0,0,0,0,0
"Marichromatium",17,0,0,0,0,0,0,0,30,13,0
"Marinagarivorans",0,0,0,0,0,29,0,0,0,0,0
"Mariniblastus",12,0,0,0,0,10,0,0,13,12,0
"Marinicauda",25,14,0,0,0,0,0,0,0,10,0
"Marinilactibacillus",0,0,0,0,0,0,0,61,0,0,18
"Marinobacter",48,311,1266,37,24,13650,359,20,3672,61,44
"Marinobacterium",15,11,22,11,0,0,0,0,45,23,13
"Marinomonas",0,0,25,19,23,15,30,18,60,79,28
"Marinovum",24,11,16,13,0,19,26,32,26,11,14
"Mariprofundus",32,57,30,171,36,0,10,0,0,21,15
"Maritalea",10,13,0,0,0,0,0,0,0,11,0
"Maritimibacter",22,0,0,0,0,0,0,0,10,0,0
"Marmota",0,0,0,0,0,0,0,0,0,11,11
"Martelella",42,15,26,16,14,18,14,32,17,24,15
"Marthasterias",0,0,0,10,0,0,0,0,17,24,0
"Massilia",77,14,35,20,0,16,0,12,46,41,33
"Mastomys",0,0,0,0,0,0,0,0,0,13,0
"Mavirus",0,0,10,0,0,0,0,0,0,0,0
"Megachile",0,0,11,10,13,0,0,19,22,33,21
"Megalopta",0,0,0,0,0,0,0,0,12,13,0
"Meiothermus",10,0,0,0,0,0,0,0,0,0,0
"Meleagris",0,0,0,0,0,0,0,0,0,0,14
"Melitaea",0,0,0,0,0,0,0,0,0,12,0
"Membranipora",0,20,18,0,18,33,30,67,103,98,68
"Menyanthes",0,0,0,0,0,0,0,0,11,13,12
"Mercenaria",0,16,0,0,0,10,16,20,25,28,24
"Meriones",0,0,0,0,0,0,0,0,0,10,12
"Mesoflavibacter",93,46,56,32,17,26,14,0,17,26,12
"Mesorhizobium",572,436,1055,182,120,183,221,140,261,1120,791
"Metabacillus",0,0,15,10,12,35,49,66,0,12,20
"Methanobacterium",0,0,16,0,19,23,0,13,0,42,33
"Methanobrevibacter",10,37,29,0,18,32,0,0,17,16,0
"Methanococcoides",20,0,40,79,26,21,15,34,25,111,38
"Methanoculleus",0,39,42,105,46,1514,28,42,30,92,165
"Methanofollis",0,0,0,0,0,11,0,0,0,12,17
"Methanogenium",0,0,0,0,0,0,0,0,0,11,0
"Methanosarcina",15,245,249,113,225,558,76,96,135,343,646
"Methanosphaera",0,10,0,0,0,16,0,0,0,0,0
"Methanothrix",0,0,41,0,0,0,0,0,0,0,0
"Methylibium",12,0,0,0,0,0,0,0,0,0,0
"Methylobacterium",337,107,92,75,67,71,34,46,66,124,91
"Methylocaldum",0,71,24,0,0,50,0,0,39,10,0
"Methyloceanibacter",230,642,698,647,904,902,674,973,1205,2405,1693
"Methylocella",38,14,11,0,0,18,0,0,0,16,12
"Methylococcus",48,0,13,17,11,0,0,0,34,33,12
"Methylocystis",87,30,37,27,17,25,13,24,22,59,50
"Methylogaea",14,0,0,0,0,0,0,0,10,18,0
"Methyloligella",63,50,54,44,49,54,43,54,66,119,103
"Methylomagnum",0,0,0,0,0,0,0,0,10,0,0
"Methylomonas",14,0,21,0,12,16,0,0,32,31,12
"Methylophaga",0,29,10,3294,28,57,212,49,45,16,11
"Methylorubrum",36,12,10,0,14,13,0,0,12,20,19
"Methylosinus",56,35,31,25,41,52,16,40,26,76,101
"Methyloversatilis",12,0,0,0,0,0,0,0,0,0,0
"Methylovirgula",42,18,10,0,0,0,0,0,0,25,16
"Metschnikowia",0,11,0,13,0,0,24,0,14,0,14
"Meuniera",0,0,0,0,0,0,10,0,0,0,0
"Microbacterium",70,43,39,34,45,46,81,13373,2368,211,114
"Microbulbifer",44,21,35,54,33,23,77,83,121,241,127
"Microcella",0,0,0,0,0,0,22,1467,205,72,0
"Micrococcus",0,0,0,0,0,11,0,24,32,19,30
"Microlunatus",17,18,12,0,16,14,0,19,20,29,31
"Micromonas",49,118,81,114,120,160,159,161,338,507,396
"Micromonospora",127,9174,10883,11341,12664,5089,9641,6610,195,17223,301
"Micropruina",0,0,0,0,0,0,0,0,0,10,12
"Microtus",0,0,10,0,0,0,0,10,17,30,14
"Microvirga",159,41,36,24,27,28,24,31,35,60,52
"Miltochrista",0,0,0,0,0,0,0,0,0,11,0
"Miltoncostaea",32,62,46,49,89,113,88,74,97,272,197
"Minicystis",33,0,12,13,12,14,0,0,0,14,26
"Mizuhopecten",0,0,0,0,0,0,0,0,0,13,11
"Modestobacter",0,0,12,15,13,16,0,0,19,17,38
"Mollisia",0,0,0,0,0,0,0,0,0,12,0
"Monodelphis",0,0,0,0,0,0,0,0,0,15,0
"Monoraphidium",0,10,0,0,0,0,0,0,0,0,0
"Moraxella",0,11,10,13,14,18,0,25,49,71,38
"Moritella",0,0,83,33,41,34,39,30,31,54,60
"Morus",0,0,0,0,0,0,0,0,10,0,12
"Mucilaginibacter",0,0,0,0,0,0,0,0,0,14,14
"Mucisphaera",29,0,0,11,0,0,0,0,0,12,16
"Muricauda",0,10,10,0,0,0,0,0,0,24,0
"Mus",0,20,0,16,20,27,23,28,39,49,41
"Mustela",0,0,0,0,0,0,0,0,0,12,0
"Mycobacterium",233,1267,1155,1221,1953,2579,2228,2999,3943,4122,7620
"Mycobacteroides",16,263,304,214,385,351,539,1042,2072,3551,4149
"Mycolicibacillus",0,11,16,18,31,28,43,43,46,75,123
"Mycolicibacter",14,83,82,75,138,172,177,250,321,317,616
"Mycolicibacterium",273,1333,1255,1459,2492,2889,2723,3821,5025,5157,9503
"Myodes",0,0,0,0,0,0,0,0,0,19,25
"Myotis",0,0,0,0,0,0,0,12,10,15,11
"Myripristis",0,0,0,12,0,0,0,0,0,13,0
"Myroides",0,0,0,0,0,0,0,0,0,0,11
"Mytilus",0,0,0,0,0,0,0,0,20,15,16
"Myxine",0,0,0,0,0,0,0,0,0,13,0
"Myxococcus",37,17,30,0,17,15,0,10,15,25,15
"Nakamurella",10,0,11,11,10,0,10,12,28,28,58
"Nannochloropsis",0,63,79,82,66,11,47,84,106,226,44
"Nannospalax",0,0,0,0,0,0,0,0,0,16,12
"Nanofrustulum",0,0,0,0,0,0,0,0,16,15,0
"Natrinema",0,33,34,29,128,130,0,14,0,21,31
"Natronocella",0,0,0,0,0,0,0,0,90,0,0
"Natronorubrum",0,14,11,21,31,65,18,39,0,28,39
"Natronosporangium",0,20,42,0,0,0,0,0,0,25,0
"Navicula",0,0,13,0,12,21,24,23,25,38,17
"Neisseria",15,0,0,11,0,15,10,0,23,22,20
"Nelumbo",0,0,0,0,0,0,0,0,0,13,0
"Nemania",0,0,0,0,0,0,0,0,17,0,35
"Nematolebias",0,0,0,0,0,0,0,0,0,0,12
"Nematostella",0,0,0,0,0,0,0,0,10,13,12
"Nemoura",0,10,0,13,11,13,0,0,23,25,15
"Nemurella",0,13,13,15,12,18,0,0,18,23,26
"Neobacillus",0,0,0,0,0,0,132,179,60,0,52
"Neomicrococcus",0,0,0,0,0,0,44,0,2116,0,0
"Neorhizobium",27,0,25,12,10,0,0,0,40,22,14
"Neotabrizicola",14,0,0,0,0,0,0,0,0,0,0
"Neptunomonas",0,0,12,13,0,0,0,0,0,0,0
"Niallia",0,0,0,0,12,0,24,44,0,0,12
"Nicotiana",0,0,0,0,0,0,0,0,13,131,17
"Nilaparvata",0,0,0,0,0,0,0,0,10,12,0
"Nisaea",155,65,47,34,16,18,0,0,12,28,21
"Nitratireductor",110,59,41,26,33,32,33,32,43,91,33
"Nitrobacter",26,11,10,11,0,10,0,12,12,20,13
"Nitrogeniibacter",28,12,0,12,0,0,0,0,0,17,11
"Nitrosarchaeum",53,16,25,0,25,59,21,43,100,392,150
"Nitrosococcus",0,0,0,0,0,0,0,0,0,11,13
"Nitrosomonas",10,0,22,21,21,25,0,0,10,29,11
"Nitrosopumilus",12077,1020,944,621,1676,2822,1409,1967,2744,7571,3374
"Nitrososphaera",0,0,0,0,0,0,0,0,0,0,13
"Nitrosospira",12,0,0,12,0,0,0,0,0,11,0
"Nitrospina",0,24,0,11,0,0,0,0,0,0,0
"Nitrospira",1036,27,43,21,43,41,22,29,76,235,173
"Nitrospirillum",85,21,16,0,0,0,0,0,0,16,0
"Nitzschia",0,0,0,0,0,15,18,11,34,36,22
"Niveispirillum",26,17,12,13,0,0,0,0,0,0,0
"Nocardia",66,133,119,94,159,207,172,247,286,387,751
"Nocardioides",139,418,375,320,295,286,257,1052,2173,291,305
"Nocardiopsis",36,38,30,70,28,22,0,43927,43726,67,26892
"Nodularia",0,0,0,0,0,0,24,13,12,0,103
"Nonlabens",0,0,0,0,0,11,0,0,14,24,17
"Nonomuraea",26,82,74,42,55,62,27,42,43,69,88
"Nordella",58,21,14,15,15,14,0,0,0,29,19
"Nostoc",0,0,0,0,10,11,0,0,19,21,27
"Notechis",0,0,0,0,0,0,0,0,0,13,0
"Notodromas",0,0,0,0,0,0,0,0,0,12,11
"Notolabrus",0,0,0,0,0,12,0,0,15,16,0
"Novibacillus",12,18,0,0,12,21,10,15,0,0,21
"Novosphingobium",77,27,22,19,19,26,42,36,63,42,23
"Novosphingopyxis",0,0,0,0,0,0,74,0,0,0,0
"Nymphaea",0,0,0,0,0,0,0,0,0,12,0
"Nymphalis",0,0,0,0,0,0,0,0,0,0,10
"Nysson",0,0,0,0,0,0,0,0,0,10,0
"Oceanicoccus",0,12,13,24,11,17,17,13,16,22,10
"Oceanicola",16,0,0,0,0,0,0,0,12,10,0
"Oceanispirochaeta",0,0,0,189,0,0,0,0,0,0,0
"Ochotona",0,0,0,0,0,0,0,0,10,13,0
"Ochrobactrum",0,0,0,0,0,0,0,23,0,0,0
"Octadecabacter",19,36,61,32,31,40,31,31,72,58,40
"Octodon",0,0,0,0,0,0,0,10,11,10,12
"Octopus",10,21,15,27,24,25,35,41,77,123,59
"Ocypus",0,0,13,0,0,0,0,0,0,0,0
"Oerskovia",0,0,0,0,0,0,0,0,0,0,12
"Oikopleura",22,210,74,104,153,147,102,158,334,516,326
"Oleiharenicola",11,0,0,0,0,0,0,0,0,0,0
"Oleispira",0,0,11,11,0,16,0,0,0,11,14
"Olleya",0,0,0,0,0,0,0,10,15,13,13
"Oncorhynchus",55,122,90,160,165,192,104,158,381,437,267
"Opitutus",13,0,0,0,0,0,0,0,0,18,0
"Oppiella",0,0,0,0,0,0,0,0,0,0,15
"Oricola",38,18,10,0,0,12,13,0,0,10,12
