"","EUK.BLANK.2","EUK.BLANK.3","EUK.BLANK.4","EUK.BLANK.5","EUK.BLANK.7","EUK.BLANK.8","EUK.ExrNTC.1","EUK.ExrNTC.3","EUK.ExrNTC.4","EUK.ExrNTC.5","EUK.ExrNTC.6","EUK.ExrNTC.7","EUK.ExrNTC.8","EUK.ExrPTC.1","EUK.ExrPTC.2","EUK.ExrPTC.3","EUK.ExrPTC.4","EUK.ExrPTC.5","EUK.ExrPTC.6","EUK.ExrPTC.7","EUK.ExrPTC.8","EUK.LH.MD9.0000.1","EUK.LH.MD9.0000.2","EUK.LH.MD9.0000.3","EUK.LH.MD9.0000.4","EUK.LH.MD9.0000.5","EUK.LH.MD9.0000.6","EUK.LH.MD9.0000.7","EUK.LH.MD9.0000.8","EUK.LH.MD9.0250.1","EUK.LH.MD9.0250.2","EUK.LH.MD9.0250.3","EUK.LH.MD9.0250.4","EUK.LH.MD9.0250.5","EUK.LH.MD9.0250.6","EUK.LH.MD9.0250.7","EUK.LH.MD9.0250.8","EUK.LH.MD9.0450.1","EUK.LH.MD9.0450.2","EUK.LH.MD9.0450.3","EUK.LH.MD9.0450.4","EUK.LH.MD9.0450.5","EUK.LH.MD9.0450.6","EUK.LH.MD9.0450.7","EUK.LH.MD9.0450.8","EUK.LH.MD9.0700.1","EUK.LH.MD9.0700.2","EUK.LH.MD9.0700.3","EUK.LH.MD9.0700.4","EUK.LH.MD9.0700.5","EUK.LH.MD9.0700.6","EUK.LH.MD9.0700.7","EUK.LH.MD9.0700.8","EUK.LH.MD9.0900.1","EUK.LH.MD9.0900.2","EUK.LH.MD9.0900.3","EUK.LH.MD9.0900.4","EUK.LH.MD9.0900.5","EUK.LH.MD9.0900.6","EUK.LH.MD9.0900.7","EUK.LH.MD9.0900.8","EUK.LH.MD9.1150.1","EUK.LH.MD9.1150.2","EUK.LH.MD9.1150.3","EUK.LH.MD9.1150.4","EUK.LH.MD9.1150.5","EUK.LH.MD9.1150.6","EUK.LH.MD9.1150.7","EUK.LH.MD9.1150.8","EUK.NM.MD9.1849.1","EUK.NM.MD9.1849.2","EUK.NM.MD9.1849.3","EUK.NM.MD9.1849.4","EUK.NM.MD9.1849.5","EUK.NM.MD9.1849.6","EUK.NM.MD9.1849.7","EUK.NM.MD9.1849.8","EUK.NM.MD9.2050.1","EUK.NM.MD9.2050.2","EUK.NM.MD9.2050.3","EUK.NM.MD9.2050.4","EUK.NM.MD9.2050.5","EUK.NM.MD9.2050.6","EUK.NM.MD9.2050.7","EUK.NM.MD9.2050.8","EUK.NM.MD9.2250.1","EUK.NM.MD9.2250.2","EUK.NM.MD9.2250.3","EUK.NM.MD9.2250.4","EUK.NM.MD9.2250.5","EUK.NM.MD9.2250.6","EUK.NM.MD9.2250.7","EUK.NM.MD9.2250.8","EUK.NM.MD9.2450.1","EUK.NM.MD9.2450.2","EUK.NM.MD9.2450.3","EUK.NM.MD9.2450.4","EUK.NM.MD9.2450.5","EUK.NM.MD9.2450.6","EUK.NM.MD9.2450.7","EUK.NM.MD9.2450.8","EUK.NM.MD9.2650.1","EUK.NM.MD9.2650.2","EUK.NM.MD9.2650.3","EUK.NM.MD9.2650.4","EUK.NM.MD9.2650.5","EUK.NM.MD9.2650.6","EUK.NM.MD9.2650.7","EUK.NM.MD9.2650.8","EUK.TubNTC.1","EUK.TubNTC.2","EUK.TubNTC.3","EUK.TubNTC.4","EUK.TubNTC.5","EUK.TubNTC.6","EUK.BLANK.1","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"ASV_2616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2616","Low","1851148","Bacteria","Planctomycetota","Phycisphaerae","Sedimentisphaerales","Sedimentisphaeraceae","Limihaloglobus","Limihaloglobus sulfuriphilus"
"ASV_2617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,35,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2617","High","273907","Eukaryota","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Pelagostrobilidium","Pelagostrobilidium neptuni"
"ASV_2618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,24,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2618","Low","1215638","Eukaryota","Discosea","Flabellinia","","Vannellidae","Vannella","Vannella sp. ELH3"
"ASV_2619",0,0,0,0,0,0,0,0,0,0,0,0,0,65,60,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,"ASV_2620","Low","2027451","Eukaryota","Hemimastigophora","","","Spironemidae","Hemimastix","Hemimastix kukwesjijk"
"ASV_2621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2621","Low","2026715","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Pseudobdellovibrionaceae","","Pseudobdellovibrionaceae bacterium"
"ASV_2622",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,13,0,27,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2622","Low","981321","Eukaryota","Cercozoa","Imbricatea","Thaumatomonadida","Thaumatomastigidae","Peregrinia","Peregrinia clavideferens"
"ASV_2623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,15,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2623","Low","163604","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis exhalans"
"ASV_2624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,4,4,4,17,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2624","Low","214688","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae","Gemmata","Gemmata obscuriglobus"
"ASV_2625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,34,0,34,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2625","Low","661160","Eukaryota","Evosea","Variosea","Fractovitellida","Schizoplasmodiidae","Schizoplasmodium","Schizoplasmodium cavostelioides"
"ASV_2626",0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,58,7,8,11,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,7,10,11,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2628",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,101,3,6,2,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2629",0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,110,2,5,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2629","High","89963","Eukaryota","","Dinophyceae","Peridiniales","Heterocapsaceae","Heterocapsa","Heterocapsa rotundata"
"ASV_2630",0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,103,13,3,8,4,6,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2630","Low","1891926","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","Fuerstiella","Fuerstiella marisgermanici"
"ASV_2631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2631","Low","629752","Eukaryota","Cercozoa","Imbricatea","Thaumatomonadida","Thaumatomastigidae","Protaspis","Protaspis sp. CC-2009a"
"ASV_2632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,48,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2632","Low","1869227","Bacteria","","","","","","bacterium"
"ASV_2633",0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,49,21,11,11,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2633","Low","174632","Bacteria","Planctomycetota","Candidatus Brocadiia","Candidatus Brocadiales","Candidatus Brocadiaceae","Candidatus Brocadia","Candidatus Brocadia anammoxidans"
"ASV_2634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2634","Low","1619078","Bacteria","","","","","","candidate division TM6 bacterium GW2011_GWF2_30_66"
"ASV_2635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,55,29,0,0,0,0,0,0,0,"ASV_2635","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,36,0,32,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,"ASV_2637","Low","1936003","Bacteria","Planctomycetota","Phycisphaerae","Sedimentisphaerales","Anaerohalosphaeraceae","Anaerohalosphaera","Anaerohalosphaera lusitana"
"ASV_2638",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,86,11,15,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2638","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,76,20,13,7,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2639","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2640",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116,0,8,4,17,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2640","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,22,4,7,4,6,0,0,1,2,29,0,4,0,0,1,2,0,3,5,1,1,3,0,0,0,2,0,2,4,9,0,0,0,3,0,1,0,12,0,1,0,1,0,0,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ASV_2641","Low","230410","Eukaryota","","","Pirsoniales","","Pirsonia","Pirsonia guinardiae"
"ASV_2642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,17,7,1,21,24,23,12,30,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2642","Low","1869227","Bacteria","","","","","","bacterium"
"ASV_2643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,70,0,0,0,0,0,0,0,0,"ASV_2643","High","218663","Eukaryota","Discosea","Flabellinia","Dactylopodida","Paramoebidae","Korotnevella","Korotnevella stella"
"ASV_2644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,120,0,0,0,0,0,0,0,0,0,0,"ASV_2644","Low","1486246","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas sp."
"ASV_2645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,88,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2645","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,53,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2647",0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,101,0,0,20,7,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2647","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,48,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2649","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,16,0,59,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2650","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,20,6,6,30,14,38,16,11,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2651","Low","2012228","Eukaryota","Cryptomycota","","","","","Cryptomycota sp."
"ASV_2652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2652","Low","763493","Eukaryota","Cercozoa","Thecofilosea","","","Mataza","Mataza hastifera"
"ASV_2653",0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,27,0,34,20,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,7,0,6,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2655","Low","573134","Bacteria","Planctomycetota","Planctomycetia","","","","Planctomycetia bacterium WSF3-27"
"ASV_2656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,11,4,4,0,2,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,3,15,0,52,2,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2656","Low","46431","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Desulfuromonadaceae","Pelobacter","Pelobacter sp."
