"","EUK.BLANK","EUK.ExrNTC","EUK.ExrPTC","EUK.LH.MD9.0000","EUK.LH.MD9.0250","EUK.LH.MD9.0450","EUK.LH.MD9.0700","EUK.LH.MD9.0900","EUK.LH.MD9.1150","EUK.NM.MD9.1849","EUK.NM.MD9.2050","EUK.NM.MD9.2250","EUK.NM.MD9.2450","EUK.NM.MD9.2650","EUK.TubNTC","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"ASV_2763",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2764",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2765",0,0,0,7,5,4,7,3,5,3,1,2,2,0,0,"ASV_2765","Low-MH-S","1618364;1618504","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_2766",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2767",0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2768",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2768","Low","2712864","Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Aquisphaera","Aquisphaera sp. JC669"
"ASV_2769",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2769","Low","163604","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis exhalans"
"ASV_2770",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2771",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2771","Low","195967","Eukaryota","Chlorophyta","Mamiellophyceae","Dolichomastigales","Crustomastigaceae","Crustomastix","Crustomastix stigmatica"
"ASV_2772",0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,"ASV_2772","Low","2052180","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","","","Phycisphaerales bacterium"
"ASV_2773",0,0,0,4,1,4,3,3,1,1,0,1,1,1,0,"ASV_2773","High-MH","None","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas",NA
"ASV_2774",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"ASV_2774","Low","1936003","Bacteria","Planctomycetota","Phycisphaerae","Sedimentisphaerales","Anaerohalosphaeraceae","Anaerohalosphaera","Anaerohalosphaera lusitana"
"ASV_2775",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2776",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2777",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2777","Low","2316434","Eukaryota","Microsporidia","","","","","Microsporidia sp. clade VIII"
"ASV_2778",0,0,0,0,0,3,1,0,1,1,0,0,1,0,0,"ASV_2778","Low","2250252","Bacteria","Candidatus Sumerlaeota","Candidatus Sumerlaeia","Candidatus Sumerlaeales","Candidatus Sumerlaeaceae","Candidatus Sumerlaea","Candidatus Sumerlaea chitinivorans"
"ASV_2779",0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,"ASV_2779","Low","1486463","Eukaryota","Haptophyta","","","","","Haptophyceae sp. EE-2014"
"ASV_2780",0,0,7,3,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2781",0,0,0,0,0,2,0,7,6,2,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2782",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2782","Low","82","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium sp."
"ASV_2783",0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"ASV_2783","Low","1936003","Bacteria","Planctomycetota","Phycisphaerae","Sedimentisphaerales","Anaerohalosphaeraceae","Anaerohalosphaera","Anaerohalosphaera lusitana"
"ASV_2784",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2784","Low","230410","Eukaryota","","","Pirsoniales","","Pirsonia","Pirsonia guinardiae"
"ASV_2785",0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,"ASV_2785","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2786",0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,"ASV_2786","Low","2026777","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","","Phycisphaeraceae bacterium"
"ASV_2787",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"ASV_2787","Low","525924","Bacteria","Myxococcota","","Polyangiales","Phaselicystidaceae","Phaselicystis","Phaselicystis flava"
"ASV_2788",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2788","Low","629759","Eukaryota","Cercozoa","Thecofilosea","","Ebriacea","Botuliforma","Botuliforma benthica"
"ASV_2789",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,"ASV_2789","Low","2978974","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","Rhizobium sp. CSC1952"
"ASV_2790",0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,"ASV_2790","Low","629752","Eukaryota","Cercozoa","Imbricatea","Thaumatomonadida","Thaumatomastigidae","Protaspis","Protaspis sp. CC-2009a"
"ASV_2791",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2791","Low","44451","Eukaryota","","Raphidophyceae","Chattonellales","Vacuolariaceae","Vacuolaria","Vacuolaria virescens"
"ASV_2792",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2792","Low","2919598","Bacteria","Pseudomonadota","Gammaproteobacteria","Candidatus Comchoanobacterales","Candidatus Comchoanobacteraceae","Candidatus Comchoanobacter","Candidatus Comchoanobacter bicostacola"
"ASV_2793",0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2794",0,0,0,5,2,6,3,7,1,0,0,1,0,1,0,"ASV_2794","High","397271","Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Thiohalomonas","Thiohalomonas nitratireducens"
"ASV_2795",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"ASV_2795","High","178360","Eukaryota","Cercozoa","Imbricatea","Euglyphida","Euglyphidae","Euglypha","Euglypha filifera"
"ASV_2796",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ASV_2796","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2797",0,0,0,1,0,5,1,2,0,2,0,1,2,0,0,"ASV_2797","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2798",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2799",0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,"ASV_2799","High","215587","Eukaryota","","Bigyra","Thraustochytrida","Thraustochytriaceae","Aplanochytrium","Aplanochytrium stocchinoi"
"ASV_2800",0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,"ASV_2800","Low","1871048","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Devosia sp."
"ASV_2801",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ASV_2801","Low","88552","Eukaryota","","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","Amoebophrya sp."
"ASV_2802",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"ASV_2802","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2803",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ASV_2803","Low","2185280","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Pelagibacterium","Pelagibacterium montanilacus"
"ASV_2804",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2805",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2805","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2806",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2806","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2807",0,0,0,2,4,1,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2808",0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,"ASV_2808","High","59560","Eukaryota","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Phallusia","Phallusia mammillata"
"ASV_2809",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"ASV_2809","High-MH","None","Eukaryota","Annelida","Polychaeta","","Opheliidae",NA,NA
"ASV_2810",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"ASV_2810","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2811",0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,"ASV_2811","Low","1859132","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Candidatus Electrothrix","Candidatus Electrothrix japonica"
"ASV_2812",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2812","High","1315715","Eukaryota","Picozoa","Picomonadea","Picomonadida","Picomonadidae","Picomonas","Picomonas judraskeda"
"ASV_2813",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"ASV_2813","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2814",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"ASV_2814","Low","1872480","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Altererythrobacter sp."
"ASV_2815",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"ASV_2815","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2816",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2816","Low","1151695","Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","","Peptostreptococcaceae bacterium canine oral taxon 096"
"ASV_2817",0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2818",0,0,6,5,0,1,0,2,0,1,0,0,0,0,0,"ASV_2818","Low","3711","Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica","Brassica rapa"
"ASV_2819",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2819","Low","858351","Eukaryota","","Dinophyceae","","","Tintinnophagus","Tintinnophagus acutus"
"ASV_2820",0,0,0,0,8,1,1,3,2,1,0,0,4,0,0,"ASV_2820","Low","2559701","Eukaryota","Streptophyta","Zygnemophyceae","Zygnematales","Zygnemataceae","Temnogametum","Temnogametum iztacalense"
"ASV_2821",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2822",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ASV_2822","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2823",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,"ASV_2823","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2824",0,0,0,6,1,5,2,2,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2825",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2826",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2827",0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2828",0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,"ASV_2828","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2829",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2830",0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,"ASV_2830","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_2831",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2832",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2832","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2833",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"ASV_2833","Low","573134","Bacteria","Planctomycetota","Planctomycetia","","","","Planctomycetia bacterium WSF3-27"
"ASV_2834",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2834","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2835",0,0,0,8,3,2,2,0,0,0,0,0,0,0,0,"ASV_2835","Low","1979842","Eukaryota","Cercozoa","","","Mesofilidae","Mesofila","Mesofila limnetica"
"ASV_2836",0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,"ASV_2836","Low","39848","Eukaryota","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Agrostemma","Agrostemma githago"
"ASV_2837",0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2838",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"ASV_2838","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2839",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2840",0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,"ASV_2840","High-MH","None","Eukaryota","Chlorophyta","Trebouxiophyceae",NA,NA,NA,NA
"ASV_2841",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2842",0,0,0,0,1,5,1,4,0,0,0,0,0,0,0,"ASV_2842","Low","87103","Eukaryota","","Bigyra","Oblongichytrida","","Oblongichytrium","Oblongichytrium minutum"
"ASV_2843",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"ASV_2843","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2844",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2844","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2845",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2846",0,0,7,8,0,2,1,2,2,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2847",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"ASV_2847","Low","2026780","Bacteria","Planctomycetota","","","","","Planctomycetota bacterium"
"ASV_2848",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2848","Low","2052180","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","","","Phycisphaerales bacterium"
"ASV_2849",0,0,0,0,0,2,8,1,6,6,0,0,2,1,0,"ASV_2849","Low-MH-S","1312089;1312103;1312105","Eukaryota","","Bigyra","Oblongichytrida","","Oblongichytrium",NA
"ASV_2850",0,0,0,0,0,4,8,7,3,4,0,0,1,0,0,"ASV_2850","Low","407234","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Phaeovulum","Phaeovulum vinaykumarii"
"ASV_2851",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2852",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2852","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2853",0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,"ASV_2853","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2854",0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2855",0,0,0,0,4,8,0,2,0,1,0,0,0,0,0,"ASV_2855","Low","2026780","Bacteria","Planctomycetota","","","","","Planctomycetota bacterium"
"ASV_2856",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"ASV_2856","Low","1921136","Eukaryota","Euglenozoa","","Diplonemea","Diplonemidae","Rhynchopus","Rhynchopus sp."
"ASV_2857",0,0,0,2,3,5,5,6,5,2,1,0,0,0,0,"ASV_2857","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2858",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2858","Low","88552","Eukaryota","","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","Amoebophrya sp."
"ASV_2859",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2860",0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2861",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2861","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2862",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ASV_2862","Low","121116","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","","Gemmata-like str. JW3-8s0"
"ASV_2863",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2863","Low","1619078","Bacteria","","","","","","candidate division TM6 bacterium GW2011_GWF2_30_66"
"ASV_2864",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2865",0,0,0,0,1,3,2,5,8,0,0,0,0,0,0,"ASV_2865","High","2748318","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Oceaniferula","Oceaniferula marina"
"ASV_2866",0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,"ASV_2866","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2867",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"ASV_2867","Low","2026243","Eukaryota","Mucoromycota","","","","","Glomeromycotina sp."
"ASV_2868",0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,"ASV_2868","High-MH","None","Eukaryota","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae",NA,NA
"ASV_2869",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2870",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2871",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2871","Low","37635","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces","Planctomyces sp."
"ASV_2872",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2872","Low","2528010","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","Lignipirellula","Lignipirellula cremea"
"ASV_2873",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2873","Low","2925399","Eukaryota","","","Apusomonadida","Apusomonadidae","Podomonas","Podomonas capensis"
"ASV_2874",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"ASV_2874","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_2875",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"ASV_2875","Low","1424294","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Geosporobacter","Geosporobacter ferrireducens"
"ASV_2876",0,0,0,0,5,5,2,3,0,0,0,1,1,0,0,"ASV_2876","High-MH","None","Eukaryota","Streptophyta","Magnoliopsida","Alismatales","Zosteraceae",NA,NA
"ASV_2877",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2877","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2878",0,0,0,1,5,5,4,3,6,3,0,0,0,0,0,"ASV_2878","Low","2614562","Eukaryota","Gastrotricha","","Chaetonotida","Chaetonotidae","Chaetonotus","Chaetonotus aff. euhystrix MK-2019"
"ASV_2879",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,"ASV_2879","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2880",0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,"ASV_2880","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2881",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2881","Low","193542","Eukaryota","","Centroplasthelida","Pterocystida","Pterocystidae","Chlamydaster","Chlamydaster sterni"
"ASV_2882",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2882","Low","2057163","Eukaryota","Endomyxa","Ascetosporea","Haplosporida","Haplosporidiidae","Haplosporidium","Haplosporidium pinnae"
"ASV_2883",0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,"ASV_2883","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2884",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2884","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2885",0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,"ASV_2885","Low","2026780","Bacteria","Planctomycetota","","","","","Planctomycetota bacterium"
"ASV_2886",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2886","Low","267548","Eukaryota","Streptophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Salicornia","Salicornia ramosissima"
"ASV_2887",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2888",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"ASV_2888","Low","47937","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","","","unidentified planctomycete"
"ASV_2889",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,"ASV_2889","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2890",0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,"ASV_2890","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2891",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2892",0,0,0,1,3,3,3,3,4,0,0,0,0,0,0,"ASV_2892","Low","1165183","Bacteria","","","","","","bacterium SH5-3"
"ASV_2893",0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,"ASV_2893","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2894",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2895",0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,"ASV_2895","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2896",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"ASV_2896","High-MH","None","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"ASV_2897",0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,"ASV_2897","Low","1655519","Eukaryota","","Dinophyceae","Peridiniales","Kryptoperidiniaceae","Durinskia","Durinskia cf. baltica HG171"
"ASV_2898",0,0,0,0,0,1,1,1,0,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2899",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ASV_2899","Low","56452","Eukaryota","Euglenozoa","Euglenida","Petalomonadida","Scytomonadidae","Petalomonas","Petalomonas cantuscygni"
"ASV_2900",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2900","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2901",0,0,0,0,2,5,1,0,0,1,1,0,0,4,0,"ASV_2901","High","55710","Eukaryota","Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma","Cerastoderma edule"
"ASV_2902",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,"ASV_2902","High","1607871","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Strombidium","Strombidium caudispina"
"ASV_2903",0,0,0,2,1,0,3,1,2,0,1,1,0,0,0,"ASV_2903","Low","2052180","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","","","Phycisphaerales bacterium"
"ASV_2904",0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,"ASV_2904","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2905",0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2906",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ASV_2906","Low","2528023","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae","Urbifossiella","Urbifossiella limnaea"
"ASV_2907",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2907","Low","663229","Eukaryota","","Dinophyceae","Syndiniales","Ellobiopsidae","Ellobiopsis","Ellobiopsis chattonii"
"ASV_2908",0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,"ASV_2908","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2909",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2909","Low","1678066","Eukaryota","Discosea","Flabellinia","Dactylopodida","Paramoebidae","Korotnevella","Korotnevella jeppesenii"
"ASV_2910",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2910","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2911",0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,"ASV_2911","High","1458461","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Parvibaculaceae","Candidatus Phaeomarinobacter","Candidatus Phaeomarinobacter ectocarpi"
"ASV_2912",0,0,8,4,0,0,0,1,1,0,0,0,0,0,0,"ASV_2912","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_2913",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2913","Low","1898112","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","","Rhodospirillaceae bacterium"
"ASV_2914",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ASV_2914","Low","573134","Bacteria","Planctomycetota","Planctomycetia","","","","Planctomycetia bacterium WSF3-27"
"ASV_2915",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_2915","Low","37318","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia pungens"
"ASV_2916",0,0,0,1,7,3,2,3,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_2917",0,0,0,5,7,6,1,5,2,2,0,0,0,0,0,"ASV_2917","Low","1043734","Eukaryota","Cercozoa","","Cercomonadida","Cercomonadidae","Eocercomonas","Eocercomonas perecta"
"ASV_2918",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"ASV_2918","None","None",NA,NA,NA,NA,NA,NA,NA
